Mass	Nams	qb	qm	qc	qh	qp
503.10751	Tetradecamethylcycloheptasiloxane-CH4	FALSE	FALSE	FALSE	FALSE	FALSE
515.41286	"Didodecyl 3,3?-thiodipropionate"	FALSE	FALSE	FALSE	FALSE	FALSE
519.13879	Tetradecamethylcycloheptasiloxane+H	FALSE	TRUE	FALSE	FALSE	FALSE
531.40777	C30H58O5S	FALSE	TRUE	TRUE	TRUE	FALSE
531.4408	DIUPhtalate	FALSE	FALSE	FALSE	FALSE	FALSE
536.16537	Polysiloxane	FALSE	FALSE	TRUE	TRUE	FALSE
537.33979	Triton	FALSE	FALSE	FALSE	FALSE	TRUE
547.40269	C30H58O6S	FALSE	FALSE	TRUE	FALSE	FALSE
553.38972	C30H58O5S	FALSE	FALSE	TRUE	FALSE	FALSE
566.88861	C8H7Na9O16	FALSE	FALSE	FALSE	FALSE	FALSE
567.89196	C8H7Na9O16+C13	FALSE	FALSE	FALSE	FALSE	FALSE
581.36601	Triton	FALSE	FALSE	FALSE	FALSE	TRUE
610.18416	Polysiloxane	FALSE	FALSE	TRUE	TRUE	FALSE
622.02896	CalAgilent	FALSE	FALSE	FALSE	FALSE	FALSE
634.87603	C9H8Na10O18	FALSE	FALSE	FALSE	FALSE	FALSE
635.87938	C9H8Na10O18+C13	FALSE	FALSE	FALSE	FALSE	FALSE
651.14508	Octadecamethylcyclononasiloxane-CH4	FALSE	FALSE	FALSE	FALSE	FALSE
667.17639	Octadecamethylcyclononasiloxane+H	FALSE	FALSE	FALSE	FALSE	FALSE
684.20295	Polysiloxane	FALSE	FALSE	TRUE	TRUE	FALSE
702.86346	C10H9Na11O20	FALSE	FALSE	FALSE	FALSE	FALSE
703.86681	C10H9Na11O20+C13	FALSE	FALSE	FALSE	FALSE	FALSE
74.06004	DMF/Acetonitrile/Methanol	FALSE	FALSE	TRUE	TRUE	TRUE
758.22175	Polysiloxane	FALSE	FALSE	TRUE	TRUE	FALSE
79.02121	DMSO	FALSE	FALSE	TRUE	TRUE	TRUE
83.06037	2ACN+H	TRUE	FALSE	TRUE	TRUE	TRUE
88.03931	2ACN+H	FALSE	TRUE	TRUE	TRUE	TRUE
922.0098	CalAgilent	FALSE	FALSE	FALSE	FALSE	FALSE
96.04198	(CH3CN)n(CH3OH)m	FALSE	FALSE	FALSE	FALSE	FALSE
